13,handspeak,fork,"Fork ","somewhat confident","Tue Dec 05 2017 12:05:27 GMT-0500 (Eastern Standard Time)","Tue Dec 05 2017 12:07:09 GMT-0500 (Eastern Standard Time)",,,
13,handspeak,coat,"Not found ",,"Tue Dec 05 2017 12:07:59 GMT-0500 (Eastern Standard Time)","Tue Dec 05 2017 12:10:39 GMT-0500 (Eastern Standard Time)",,,
13,handspeak,grow,"Not Found ",,"Tue Dec 05 2017 12:11:01 GMT-0500 (Eastern Standard Time)","Tue Dec 05 2017 12:12:11 GMT-0500 (Eastern Standard Time)",,,
13,handspeak,argue,"Not found",,"Tue Dec 05 2017 12:12:30 GMT-0500 (Eastern Standard Time)","Tue Dec 05 2017 12:13:36 GMT-0500 (Eastern Standard Time)",,,
13,handspeak,sheep,"Sheep ","somewhat unsure","Tue Dec 05 2017 12:13:51 GMT-0500 (Eastern Standard Time)","Tue Dec 05 2017 12:15:04 GMT-0500 (Eastern Standard Time)",,,
13,handspeak,,,,,,"somewhat difficult","somewhat difficult","I liked that it presented an option based on the conditions listed. The way that we used it here I do not think would be very helpful but, if you just had to look up words and phrases and it showed you a video that could be helpful. Searching for the sign without knowing what it was seemed complicated. ","If more options were presented based on the criterion there may be a better opportunity to find what the meaning is. The Ad's were also frustrating, if there is anyway to remove the Ads that could create a better user experience. "
13,asl2english,emphasize,"Emphasize ","somewhat confident","Tue Dec 05 2017 12:19:19 GMT-0500 (Eastern Standard Time)","Tue Dec 05 2017 12:22:50 GMT-0500 (Eastern Standard Time)",,,
13,asl2english,for,For,confident,"Tue Dec 05 2017 12:23:08 GMT-0500 (Eastern Standard Time)","Tue Dec 05 2017 12:25:32 GMT-0500 (Eastern Standard Time)",,,
13,asl2english,urge,"tease ","somewhat confident","Tue Dec 05 2017 12:25:50 GMT-0500 (Eastern Standard Time)","Tue Dec 05 2017 12:28:03 GMT-0500 (Eastern Standard Time)",,,
13,asl2english,addicted,"Addicted ","somewhat unsure","Tue Dec 05 2017 12:28:17 GMT-0500 (Eastern Standard Time)","Tue Dec 05 2017 12:29:27 GMT-0500 (Eastern Standard Time)",,,
13,asl2english,hurry,"hurry ","somewhat unsure","Tue Dec 05 2017 12:29:54 GMT-0500 (Eastern Standard Time)","Tue Dec 05 2017 12:31:46 GMT-0500 (Eastern Standard Time)",,,
13,asl2english,,,,,,"somewhat easy","somewhat difficult","I liked the format and the sequence of questions. I think a program similar to this would be very helpful when learning ASL. ","The quality of the pictures and videos was blurry. Having the pictures and videos at a higher quality would help. "
